FACT_ID,SUBJECT,PREDICATE,OBJECT,NORMALIZED_VALUE,SOURCE_ASSET_ID,SOURCE_LOCATION,SOURCE_QUOTE_OR_CONTEXT,CONFIDENCE,REVIEW_STATUS,CONFLICT_GROUP
HFM-B01-PF-001,皇甫谧,身份标签,西晋名医/针灸鼻祖/文史哲博通之士,医学宗师·博通文史料医,HFM-A000005,其传(plan)未含；见后论 T2R1/T0R10,其传(P3)称“著书终老”；后论引称“针灸鼻祖”与“文、史、医、哲博通”定位,AUTO_EXTRACTED_PLANNING,MEDIUM,NEEDS_REVIEW
HFM-B01-PF-002,皇甫谧,字,"士安（据后人对句""士安好逸""反推）",字士安,HFM-A000005,T0R4,"《晋书》赞语士安好逸，栖心蓬荜""（此字见于对句，未见于本批三个文档正文明示）""",LOW,NEEDS_REVIEW,NAME_ATTRIBUTION
HFM-B01-PF-003,皇甫谧,正史本传来源,《晋书·皇甫谧传》,本源核心史料=《晋书》本传,HFM-A000003,P3,正史传记：《晋书・皇甫谧传》为本源核心史料，完整记载皇甫谧家世出身、年少游荡、折节向学、患痹疾困厄、多次拒征不仕、著书终老完整一生,HIGH,NEEDS_REVIEW,
HFM-B01-PF-004,皇甫谧,生平阶段（本传框架）,年少游荡→折节向学→患痹困厄→屡拒征召→著书终老,五段式生平框架（源自《晋书》本传概述）,HFM-A000003,P3,完整记载……年少游荡、折节向学、患痹疾困厄、多次拒征不仕、著书终老完整一生,MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-005,皇甫谧,籍贯/故里,安定郡（今甘肃灵台）;地方志另有平凉系叙述,安定郡→灵台/平凉（乡土叙事并存）,HFM-A000003,P4,平凉、安定郡（今甘肃灵台）历代地方志……收录地方对皇甫谧的乡土记述、故里、墓葬、祠庙相关记载,MEDIUM,NEEDS_REVIEW,PLACE_GULI
HFM-B01-PF-006,皇甫谧,活动地（后世考证主张）,"河南新安/义马（徙居四十余年,第二故乡）",义马为新安徙居地（现代论文主张）,HFM-A000005,T2R11,《皇甫谧徙居新安（今河南义马）的历史追踪》……梳理皇甫谧在河南义马四十余年的生活轨迹，提出“义马是皇甫谧第二故乡”的结论,LOW,NEEDS_REVIEW,PLACE_GULI
HFM-B01-PF-007,皇甫谧,生年（学界争议）,建安年间 或 正始年间（未决）,生年存在建安/正始两说，文档未裁断,HFM-A000003,P8,现代学者针对生卒年……例如皇甫谧到底生于建安年间还是正始年间,LOW,CONFLICT,BIRTH_YEAR
HFM-B01-PF-008,皇甫谧,卒年/临终行为,临终作《笃终论》主薄葬,临终遗论《笃终论》，主张简约丧葬,HFM-A000004,P9,《笃终论》皇甫谧临终所作，薄葬思想名篇。反对厚葬，主张简约丧葬,MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-009,皇甫谧,处世观,安贫乐道、屡辞征召、隐逸不仕,隐逸拒仕价值取向,HFM-A000004,P5,《玄守论》皇甫谧自述安贫乐道，拒绝出仕……甘于隐居，不慕官禄,MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-010,皇甫谧,代表著作,针灸甲乙经/帝王世纪/高士传/逸士传/列女传/玄守论/释劝论/笃终论/三都赋序,著作群（文史料医）,HFM-A000004,P3..P10,《三都赋序》《玄守论》《释劝论》《笃终论》……所著《帝王世纪》《高士传》《逸士传》《列女传》片段辑佚,MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-011,皇甫谧,文学贡献,为左思《三都赋》作序（写实反对虚夸）,文学审美观：写实、反虚夸,HFM-A000004,P3,序言体现皇甫谧文学审美观，崇尚写实，反对虚夸……左思专门请皇甫谧作序来抬高作品地位,MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-012,皇甫谧,史学贡献,《帝王世纪》补史迁之缺并保存亡佚古籍引文,史学辑佚价值,HFM-A000005,T0R6,"钱熙祚……博采经传杂书以补史迁缺，所引《世本》诸子，今皆亡逸……弥堪宝重""""",MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-013,皇甫谧,医学地位,针灸鼻祖；《针灸甲乙经》为规范千年之医学经典,针灸鼻祖/甲乙经奠基,HFM-A000005,T0R10+T2R8,"被誉针灸鼻祖""……《皇甫谧<针灸甲乙经>学术框架的解构》""",MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-014,皇甫谧,历史评价（晋武帝）,沈静履素、守学好古、与流俗异趣,官方定评（引述）,HFM-A000005,T0R1,"晋武帝司马炎：男子皇甫谧沈静履素，守学好古，与流俗异趣。""""""",MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-015,皇甫谧,历史评价（《晋书》）,素履幽贞、闲居养疾、敦悦丘坟、贫贱不以为耻,史书高度赞誉（引述）,HFM-A000005,T0R2,"《晋书》：素履幽贞，闲居养疾……确乎不拔，斯固有晋之高人者欤！""""""",MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-016,皇甫谧,历史评价（清·李巨来）,晋代著书之富无出其右,著述宏富,HFM-A000005,T0R5,"李巨来：考晋时著书之富，无若皇甫谧者。""""""",LOW,NEEDS_REVIEW,
HFM-B01-PF-017,皇甫谧,国际影响表述,"WHO将针灸列为治疗专项；称""与孔子齐名世界文化史""",世界文化影响力（宣传口径，待核）,HFM-A000005,T0R11,"世界卫生组织批准把针灸列为治疗专项，皇甫谧也因此成为我国唯一与孔子齐名于世界文化史的历史名人""""",LOW,NEEDS_REVIEW,INTERNATIONAL_CLAIM
HFM-B01-PF-018,皇甫谧,待人轶事,梁柳任太守拒饯行（贫富不以酒肉为礼）,不趋炎附势（《晋书》轶事引述）,HFM-A000005,T0R12,"柳为布衣时过吾，吾送迎不出门……今作郡而送之，是贵城阳太守而贱梁柳……是非吾心所安也。""""",MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-019,皇甫谧针灸,非遗归属,陇派中医非遗项目；从《针灸甲乙经》发展的古典针灸流派,陇派中医·非遗（现代项目表述）,HFM-A000005,T2R6,"李志锋《皇甫谧针灸》2025……明确其为从《针灸甲乙经》发展而来的古典针灸流派地位，是陇派中医""非遗项目的重要组成部分""",MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-020,皇甫谧影视演绎,电影《皇甫谧》,2016年·吕一丁主演·公元268年叙事主线,影视作品记录（宣传资料）,HFM-A000005,T1R1,影片以公元268年西晋名医皇甫谧为叙事主线，讲述其用针灸救治皇后后拒官归乡，历经磨难完成《针灸甲乙经》,MEDIUM,NEEDS_REVIEW,MEDIA_FILM_YEAR
HFM-B01-PF-021,皇甫谧影视演绎,电视剧《皇甫谧传奇》（皇甫神医）,2018年·陈浩民主演,影视作品记录（宣传资料）,HFM-A000005,T1R2,该剧讲述了三国两晋时期，皇甫谧在乱世中钻研医术、著书立说,MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-022,皇甫谧戏曲演绎,秦腔剧《皇甫谧》首演年份,2011年（表内）与2012年（升级版）并存,秦腔首演年份两说,HFM-A000005,T1R3 vs T1R4,"T1R32011年首演""；T1R4""2012年首演""（升级版）""",MEDIUM,CONFLICT,MEDIA_QINQIANG_YEAR
HFM-B01-PF-023,皇甫谧研究文献,权威集成与整理著作,皇甫谧研究集成(钱超尘温长路2011)/遗著集(史星海)/李志锋研究专集,现代研究文献记录,HFM-A000005,T2R4/T2R5/T2R7,《皇甫谧研究集成》2011……《皇甫谧遗著集》中文现代版、英文版……《李志锋皇甫谧文化研究专集》,MEDIUM,NEEDS_REVIEW,
HFM-B01-PF-024,皇甫谧纪念设施,命名机构/设施,医院/纪念馆/文化园/学校/研究院等15类命名设施,纪念与命名设施清单（后论表）,HFM-A000005,T3R1..T3R15,皇甫谧针灸医院（灵台）……灵台县皇甫谧中医院……北京皇甫谧中医研究院……河南义马市皇甫谧中医院,MEDIUM,NEEDS_REVIEW,
