stable_id,canonical_title,work_type,work_type_review,current_status,recommendation,evidence,evidence_source,ambiguity,blocking_issue,reviewer,review_timestamp
WORK-JIAYI,针灸甲乙经,ancient-work,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,传世医学奠基名著【针灸甲乙经】，西晋皇甫谧撰，12卷/128篇，语料引用2538次；著作实体不可撼动，类别归属 ancient-work 确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-DIWANG-SHIJI,帝王世纪,ancient-work,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,皇甫谧史学/人物志核心著作【帝王世纪】（晋代古籍），历代正史著录明确；著作本体身份确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-GAOSHIZHUAN,高士传,ancient-work,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,皇甫谧史学/人物志核心著作【高士传】（晋代古籍），历代正史著录明确；著作本体身份确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-LIENVZHUAN,列女传,ancient-work,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,皇甫谧史学/人物志核心著作【列女传】（晋代古籍），历代正史著录明确；著作本体身份确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-YISHIZHUAN,逸士传,ancient-work,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,皇甫谧史学/人物志核心著作【逸士传】（晋代古籍），历代正史著录明确；著作本体身份确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-XUANSHOULUN,玄守论,treatise,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,皇甫谧代表性自况与哲学散论【玄守论】，收录于《晋书·皇甫谧传》；文献本体与篇目完整，类别归属 treatise 确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-SHIQUANLUN,释劝论,treatise,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,皇甫谧代表性自况与哲学散论【释劝论】，收录于《晋书·皇甫谧传》；文献本体与篇目完整，类别归属 treatise 确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-DUZHONGLUN,笃终论,treatise,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,皇甫谧代表性自况与哲学散论【笃终论】，收录于《晋书·皇甫谧传》；文献本体与篇目完整，类别归属 treatise 确凿,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-SANDUFUXU,三都赋序,preface,NEEDS_REVIEW,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,西晋文学史名序【三都赋序】，为左思《三都赋》作序，文学界存在皇甫谧撰与左思自托之学术争议，但该序言作为独立学术作品/篇目的客观存在毫无争议；争议属于 R1/R2 著述角色考证，不阻塞 R0 著作身份定义,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
WORK-XUANYANCHUNQIU,玄晏春秋,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,古籍佚书【玄晏春秋】，见载于唐宋总目，现有资料标记 UNKNOWN，但作为独立专著身份可追溯；work_type 暂列 UNKNOWN 不阻塞著作基础注册,content-production/normalized/works.csv (PROD_CANONICAL_WORK_14),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
