EVIDENCE_ID,SUBJECT_ID,CLAIM_TYPE,CLAIM,SOURCE_DOCUMENT_ID,SOURCE_ASSET_ID,SOURCE_PAGE,SOURCE_CONTEXT,EVIDENCE_TYPE,REVIEW_STATUS
EVIDENCE-001,PERSON-HFM-HUANGFUMI,身份标签,西晋名医/针灸鼻祖/文史哲博通之士,DOC-HFM-A000005,HFM-A000005,其传(plan)未含；见后论 T2R1/T0R10,"其传(P3)称""著书终老""；后论引称""针灸鼻祖""与""文、史、医、哲博通""定位",TEXT_QUOTE,MEDIUM
EVIDENCE-002,PERSON-HFM-HUANGFUMI,字,"士安（据后人对句""士安好逸""反推）",DOC-HFM-A000005,HFM-A000005,T0R4,"《晋书》赞语士安好逸，栖心蓬荜""（此字见于对句，未见于本批三个文档正文明示）""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-003,PERSON-HFM-HUANGFUMI,正史本传来源,《晋书·皇甫谧传》,DOC-HFM-A000003,HFM-A000003,P3,正史传记：《晋书・皇甫谧传》为本源核心史料，完整记载皇甫谧家世出身、年少游荡、折节向学、患痹疾困厄、多次拒征不仕、著书终老完整一生,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-004,PERSON-HFM-HUANGFUMI,生平阶段（本传框架）,年少游荡→折节向学→患痹困厄→屡拒征召→著书终老,DOC-HFM-A000003,HFM-A000003,P3,完整记载……年少游荡、折节向学、患痹疾困厄、多次拒征不仕、著书终老完整一生,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-005,PERSON-HFM-HUANGFUMI,籍贯/故里,安定郡（今甘肃灵台）;地方志另有平凉系叙述,DOC-HFM-A000003,HFM-A000003,P4,平凉、安定郡（今甘肃灵台）历代地方志……收录地方对皇甫谧的乡土记述、故里、墓葬、祠庙相关记载,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-006,PERSON-HFM-HUANGFUMI,活动地（后世考证主张）,河南新安/义马（徙居四十余年,DOC-义马为新安徙居地（现代论文主张）,义马为新安徙居地（现代论文主张）,HFM-A000005,T2R11,TEXT_QUOTE,LOW
EVIDENCE-007,PERSON-HFM-HUANGFUMI,生年（学界争议）,建安年间 或 正始年间（未决）,DOC-HFM-A000003,HFM-A000003,P8,现代学者针对生卒年……例如皇甫谧到底生于建安年间还是正始年间,TEXT_QUOTE,CONFLICT
EVIDENCE-008,PERSON-HFM-HUANGFUMI,卒年/临终行为,临终作《笃终论》主薄葬,DOC-HFM-A000004,HFM-A000004,P9,《笃终论》皇甫谧临终所作，薄葬思想名篇。反对厚葬，主张简约丧葬,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-009,PERSON-HFM-HUANGFUMI,处世观,安贫乐道、屡辞征召、隐逸不仕,DOC-HFM-A000004,HFM-A000004,P5,《玄守论》皇甫谧自述安贫乐道，拒绝出仕……甘于隐居，不慕官禄,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-010,PERSON-HFM-HUANGFUMI,代表著作,针灸甲乙经/帝王世纪/高士传/逸士传/列女传/玄守论/释劝论/笃终论/三都赋序,DOC-HFM-A000004,HFM-A000004,P3..P10,《三都赋序》《玄守论》《释劝论》《笃终论》……所著《帝王世纪》《高士传》《逸士传》《列女传》片段辑佚,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-011,PERSON-HFM-HUANGFUMI,文学贡献,为左思《三都赋》作序（写实反对虚夸）,DOC-HFM-A000004,HFM-A000004,P3,序言体现皇甫谧文学审美观，崇尚写实，反对虚夸……左思专门请皇甫谧作序来抬高作品地位,TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-012,PERSON-HFM-HUANGFUMI,史学贡献,《帝王世纪》补史迁之缺并保存亡佚古籍引文,DOC-HFM-A000005,HFM-A000005,T0R6,"钱熙祚……博采经传杂书以补史迁缺，所引《世本》诸子，今皆亡逸……弥堪宝重""""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-013,PERSON-HFM-HUANGFUMI,医学地位,针灸鼻祖；《针灸甲乙经》为规范千年之医学经典,DOC-HFM-A000005,HFM-A000005,T0R10+T2R8,"被誉针灸鼻祖""……《皇甫谧<针灸甲乙经>学术框架的解构》""",TEXT_QUOTE,NEEDS_REVIEW
EVIDENCE-014,PERSON-HFM-HUANGFUMI,历史评价（晋武帝）,沈静履素、守学好古、与流俗异趣,DOC-HFM-A000005,HFM-A000005,T0R1,"晋武帝司马炎：男子皇甫谧沈静履素，守学好古，与流俗异趣。""""""",TEXT_QUOTE,NEEDS_REVIEW
