ITEM_ID,DOMAIN,FEATURE_OR_DELIVERABLE,CURRENT_REALITY,EXPECTED_PRODUCT_BEHAVIOR,SCOPE_CLASS,RELEASE_BLOCKING,DELIVERY_BLOCKING,CONTENT_DEPENDENCY,EVIDENCE,RATIONALE,FINAL_DECISION
SC-01,Homepage,Homepage backend integration,8个Section由homeProjection.ts静态驱动渲染,首页直接或平滑接入/api/v1/public/home接口,R1,NO,YES,NO,HomeView.vue; phase1.py:244,当前前端可离线展示但未接通后端接口作为高保真展示可运行但作为完整系统应打通,REQUIRED_BEFORE_FINAL_DELIVERY_NOT_RELEASE_BLOCKING
SC-02,Person,皇甫谧人物生平展示,API与前端DetailView连通且有静态兜底,展示生卒年、四阶段轨迹与纪事轴,R0,NO,NO,YES (Minimum),PersonDetailView.vue; test_phase1_person.py,核心旗舰功能已完全实现且通过测试,COMPLETE
SC-03,Documents,古籍文献与版本展示,API与前端Views连通,展示作品版本流变与目录,R0,NO,NO,YES (Minimum),WorksView.vue; JiayiView.vue,典籍版本与目录结构完备,COMPLETE
SC-04,Reader,古籍文献阅读器,API与ReaderDocView连通,阅读古籍条文查看引用溯源卡片,R0,NO,NO,YES (Sample),ReaderDocView.vue; phase1.py:218,已有后论其传高精结构化条文和12条引文,COMPLETE
SC-05,Jiayi,针灸甲乙经128篇结构,前端完整呈现128篇目录及版本考据,浏览12卷128篇体系及版本流变,R0,NO,NO,NO,JiayiView.vue; workCollection.ts,甲乙经宏观知识架构已完整呈现,COMPLETE
SC-06,Knowledge,甲乙经核心知识对象,分类模型与骨干条文引文已具备,展示穴位经络病候分类与样本,R0,NO,NO,YES (Skeleton),CDomainTerm; searchIndex.ts,核心框架与样板条文已就绪,COMPLETE
SC-07,Heritage,针灸非遗活态传承,传承谱系与刘君奇名医档案已完整呈现,展示国家级非遗名录与代表传承人档案,R0,NO,NO,NO,HeritageView.vue; phase1.py:278,非遗与当代代表性名医档案完整,COMPLETE
SC-08,Search,跨域全局分面检索,后端API与前端检索界面均支持分面高亮,支持人物/作品/版本/非遗分面检索,R0,NO,NO,NO,SearchView.vue; phase1.py:150,检索功能完整健壮支持多实体类型,COMPLETE
SC-09,Media,数字媒体资产网格浏览,API与MediaLibraryView连通,浏览文物影印画卷与元数据,R0,NO,NO,YES (Baseline),MediaLibraryView.vue; phase1.py:291,公开媒体列表与元数据查看完整,COMPLETE
SC-10,Auth,多角色登录认证与守卫,后端JWT签发与前端Pinia/Guards完整闭环,支持学者/管理员登录与权限隔离,R0,NO,NO,NO,LoginView.vue; phase1.py:75,登录与RBAC已完全实现并通过测试,COMPLETE
