FEATURE_ID,MODULE,FEATURE_NAME,USER,ENTRY_POINT,USER_ACTION,EXPECTED_RESULT,FRONTEND_FILE,API,BACKEND_FILE,DB_ENTITY,TEST,RUNTIME_STATUS,IMPLEMENTATION_STATUS,DELIVERY_STATUS,EVIDENCE
FEAT-01,Home,首页八大板块宏观浏览,公众,/,向下滚动浏览,清晰呈现从生平到学术及非遗的完整脉络,apps/frontend/src/views/HomeView.vue,NONE,None,None,ui03_home.spec.ts,VERIFIED,COMPLETE,EXISTS,apps/frontend/src/views/HomeView.vue
FEAT-02,Home,首页主检索输入与跳转,公众,/,输入关键词点击检索,无缝跳转至/search并展示命中结果,apps/frontend/src/views/HomeView.vue,NONE,None,None,ui03_home.spec.ts,VERIFIED,COMPLETE,EXISTS,apps/frontend/src/views/HomeView.vue:41
FEAT-03,Person,皇甫谧学术生平全景,公众,/persons/person-huangfu-mi,访问人物主页,查看四阶段轨迹、生卒年考据与纪事轴,apps/frontend/src/views/persons/PersonDetailView.vue,GET /api/v1/public/persons/{id},phase1.py:186,Person / Entity,ui04_person.spec.ts,VERIFIED,COMPLETE,EXISTS,PersonDetailView.vue:34
FEAT-04,Jiayi,《针灸甲乙经》版本与目录,公众,/jiayi,浏览古籍版本与篇目,查看传世版本考据与128篇完整篇名,apps/frontend/src/views/jiayi/JiayiView.vue,GET /api/v1/public/works/{id}/structure,phase1.py:269,Chapter / Work,ui08_jiayi.spec.ts,VERIFIED,COMPLETE,EXISTS,JiayiView.vue
FEAT-05,Heritage,活态针灸非遗谱系,公众,/heritage,查看非遗名录与传承,展示传承脉络与刘君奇第六代名医档案,apps/frontend/src/views/heritage/HeritageView.vue,GET /api/v1/public/heritage,phase1.py:278,HeritageProject,ui09_heritage.spec.ts,VERIFIED,COMPLETE,EXISTS,HeritageView.vue
FEAT-06,Search,全局跨域分面检索,公众,/search,输入查询词并点击分类,展示相关实体高亮结果卡片与分面统计,apps/frontend/src/views/search/SearchView.vue,GET /api/v1/public/search,phase1.py:150,Entity / Publication,ui10_search.spec.ts,VERIFIED,COMPLETE,EXISTS,SearchView.vue:21
FEAT-07,Reader,古籍文献结构化阅读器,公众,/reader,选择文献篇章阅读,展示精排字句、校注与引用溯源卡片,apps/frontend/src/views/reader/ReaderDocView.vue,GET /api/v1/public/reader/resolve,phase1.py:218,Passage / Chapter,ui07_reader.spec.ts,VERIFIED,COMPLETE,EXISTS,ReaderDocView.vue
FEAT-08,Media,数字化文物影印多媒体库,公众,/library,浏览影印画卷与插图,网格化展示高清图片与元数据,apps/frontend/src/views/library/MediaLibraryView.vue,GET /api/v1/public/media,phase1.py:291,MediaAsset,p2_01_public.spec.ts,VERIFIED,COMPLETE,EXISTS,MediaLibraryView.vue
FEAT-09,Auth,用户登录与权限获取,研究员/管理员,/login,输入凭证并提交,验证身份下发Token并自动跳转目标工作区,apps/frontend/src/views/LoginView.vue,POST /api/v1/auth/login,phase1.py:75,User / Role,p2_02_auth.spec.ts,VERIFIED,COMPLETE,EXISTS,LoginView.vue
FEAT-10,Research,工作台学术概览与数据范围,研究员,/research,登录后访问工作台,查看可研究内容盘点与文献/论文清单,apps/frontend/src/views/research/ResearchHomeView.vue,NONE,None,None,ui11-research.spec.ts,VERIFIED,COMPLETE,EXISTS,ResearchHomeView.vue
FEAT-11,Research,高密研究检索与证据网,研究员,/research/search,按学术分类细筛,展示实体学术属性、引文与证据链关联,apps/frontend/src/views/research/ResearchSearchView.vue,NONE,None,None,ui11-research.spec.ts,VERIFIED,COMPLETE,EXISTS,ResearchSearchView.vue
FEAT-12,Research,学术成果Markdown/打印导出,研究员,/research,点击导出面板按钮,本地生成结构化Markdown或排版打印页,apps/frontend/src/components/ExportPanel.vue,NONE,None,None,p2_06_export.spec.ts,VERIFIED,COMPLETE,EXISTS,ExportPanel.vue
FEAT-13,Research,创建专属研究项目(写能力),研究员,API端点,提交创建项目请求,在数据库中插入属于当前学者的研究项目,None,POST /api/v1/research/projects,phase1.py:770,ResearchProject,test_phase1_research_workspace.py,VERIFIED,PARTIAL,PARTIAL,后端有API但前端无页面
FEAT-14,Research,个人研究考证笔记(写能力),研究员,API端点,提交笔记内容,记录关于特定实体或版本的考证笔记,None,POST /api/v1/research/notes,phase1.py:860,ResearchNote,test_phase1_research_workspace.py,VERIFIED,PARTIAL,PARTIAL,后端有API但前端无页面
FEAT-15,Admin,审计日志安全查看,管理员,/admin/audit,访问审计页面,展示系统操作流、操作人与变更记录,apps/frontend/src/views/admin/AuditLogView.vue,GET /api/v1/admin/audit-log,phase1.py:1000,AuditLog,p2_09_audit_view.spec.ts,VERIFIED,COMPLETE,EXISTS,AuditLogView.vue
FEAT-16,Admin,系统数据对账与一致性检查,管理员,/admin/audit,点击触发对账,运行对账引擎检查跨实体一致性与引用闭环,apps/frontend/src/views/admin/AuditLogView.vue,POST /api/v1/admin/reconciliation,phase1.py:978,ReconciliationRun,p2_09_audit_view.spec.ts,VERIFIED,COMPLETE,EXISTS,AuditLogView.vue
