MODULE_ID,MODULE_NAME,PRODUCT_SURFACE,USER_TYPE,STATUS,FRONTEND_ENTRY,FRONTEND_IMPLEMENTATION,API_PRESENT,BACKEND_IMPLEMENTATION,DATABASE_BACKED,PRIMARY_DATA_SOURCE,TEST_COVERAGE,RUNTIME_VERIFIED,DELIVERY_RELEVANCE,KNOWN_GAPS,EVIDENCE
MOD-01,Homepage,Public,Anonymous,COMPLETE,/,apps/frontend/src/views/HomeView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:244 (/api/v1/public/home),NO,frontend data projections (homeProjection.ts),COMPLETE,YES,CORE,前端渲染直接基于本地静态 Projection 未调用后端 /public/home,apps/frontend/src/views/HomeView.vue
MOD-02,Person/HuangfuMi,Public,Anonymous,COMPLETE,/persons/person-huangfu-mi,apps/frontend/src/views/persons/PersonDetailView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:186 (/api/v1/public/persons/{id}),YES,PostgreSQL entities/persons + frontend static fallback,COMPLETE,YES,CORE,后端返回缺失时回退到前端配置,apps/frontend/src/views/persons/PersonDetailView.vue:34
MOD-03,Literature/Works,Public,Anonymous,COMPLETE,/works,apps/frontend/src/views/works/WorksView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:254 (/api/v1/public/works),YES,Frontend WORK_COLLECTION + API,COMPLETE,YES,CORE,None,apps/frontend/src/views/works/WorksView.vue
MOD-04,Jiayi/Acupuncture,Public,Anonymous,COMPLETE,/jiayi,apps/frontend/src/views/jiayi/JiayiView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:269 (/api/v1/public/works/{id}/structure),YES,Frontend data + DB chapter/passage/c_domain,COMPLETE,YES,CORE,穴位经络目前仅部分结构化入库,apps/frontend/src/views/jiayi/JiayiView.vue
MOD-05,Heritage/Intangible,Public,Anonymous,COMPLETE,/heritage,apps/frontend/src/views/heritage/HeritageView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:278 (/api/v1/public/heritage),YES,Frontend HERITAGE_PERSON + DB heritage_projects,COMPLETE,YES,CORE,活态传承人展示以刘君奇为主,apps/frontend/src/views/heritage/HeritageView.vue
MOD-06,Search/Discovery,Public,Anonymous,COMPLETE,/search,apps/frontend/src/views/search/SearchView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:150 (/api/v1/public/search),YES,PostgreSQL published entities / DB ILIKE,COMPLETE,YES,CORE,论文仅部分结构化检索 (10/515),apps/frontend/src/views/search/SearchView.vue:21
MOD-07,Reader/AncientDoc,Public,Anonymous,COMPLETE,/reader,apps/frontend/src/views/reader/ReaderView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:218 (/api/v1/public/reader/resolve),YES,Frontend readerDocuments + DB passages,COMPLETE,YES,CORE,None,apps/frontend/src/views/reader/ReaderView.vue
MOD-08,MediaLibrary,Public,Anonymous,COMPLETE,/library,apps/frontend/src/views/library/MediaLibraryView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:291 (/api/v1/public/media),YES,PostgreSQL media_assets + Local filesystem,COMPLETE,YES,CORE,仅读取已发布状态媒体,apps/frontend/src/views/library/MediaLibraryView.vue
MOD-09,ResearchWorkspace,Research,Researcher,PARTIAL,/research,apps/frontend/src/views/research/ResearchHomeView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:757 (/api/v1/research/projects),YES,PostgreSQL research_projects / notes + frontend projections,COMPLETE,YES,CORE,前端为只读检索与实体查看壳；无项目/笔记/工作台写表单UI,apps/frontend/src/views/research/ResearchHomeView.vue
MOD-10,Auth/Login,Public/Guarded,All,COMPLETE,/login,apps/frontend/src/views/LoginView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:75 (/api/v1/auth/login),YES,PostgreSQL users / roles / tokens,COMPLETE,YES,CORE,None,apps/frontend/src/views/LoginView.vue
MOD-11,AdminAudit,Admin,Admin,COMPLETE,/admin,apps/frontend/src/views/admin/AdminHomeView.vue,YES,apps/backend/src/hfm/api/v1/phase1.py:1000 (/api/v1/admin/audit-log),YES,PostgreSQL audit_logs / users / reconciliation,COMPLETE,YES,CORE,None,apps/frontend/src/views/admin/AdminHomeView.vue
MOD-12,HistoricalArchive,Public,Anonymous,COMPLETE,/archive,apps/frontend/src/views/archive/ArchiveView.vue,NO,apps/frontend/src/views/archive/ArchiveView.vue,NO,Static archiveInventory.ts,COMPLETE,YES,HIGH,无独立后端 API，纯静态结构化呈现,apps/frontend/src/views/archive/ArchiveView.vue
MOD-13,ExportService,Research,Researcher,COMPLETE,/research (ExportPanel),apps/frontend/src/components/ExportPanel.vue,NO,Frontend client-side generator,NO,Frontend state / Markdown / Print,COMPLETE,YES,HIGH,纯前端导出为 Markdown 与打印版,apps/frontend/src/components/ExportPanel.vue
