stable_id,canonical_name,current_status,recommendation,evidence,evidence_source,ambiguity,blocking_issue,reviewer,review_timestamp
PERSON-HFM-HUANGFUMI,皇甫谧,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,"主研核心人物，名【皇甫谧】，别名【士安(据后世引文,待核)】，出处：PLANNING_DOCS+论文语料；无重名碰撞",content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-LEFT-SI,左思,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,历史关联人物【左思】，西晋文学家，三都赋序请托关联；身份清晰无歧义,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-SIMA-YAN,司马炎(晋武帝),REVIEW_REQUIRED,CONFIRM_RECOMMENDED,历史评价人物【司马炎(晋武帝)】（晋武帝），官方征召与史评关联；身份清晰,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-LIANG-LIU,梁柳,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,历史亲属人物【梁柳】（姑母之子），后论守贫纪事关联；身份清晰,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-LI-JULAI,李巨来(清),REVIEW_REQUIRED,CONFIRM_RECOMMENDED,清代学者/评价者【李巨来(清)】，古籍整理评注与序跋考证关联；身份清晰,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-QIAN-XIZUO,钱熙祚(清),REVIEW_REQUIRED,CONFIRM_RECOMMENDED,清代学者/评价者【钱熙祚(清)】，古籍整理评注与序跋考证关联；身份清晰,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-QIAN-CHAOCHEN,钱超尘,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,近现代文献学学者/主编【钱超尘】，国家级研究集成/遗著集编纂主持；现代学者身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-WEN-CHANGLU,温长路,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,近现代文献学学者/主编【温长路】，国家级研究集成/遗著集编纂主持；现代学者身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-SHI-XINGHAI,史星海,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,近现代文献学学者/主编【史星海】，国家级研究集成/遗著集编纂主持；现代学者身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-LI-ZHIFENG,李志锋,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,非遗传承人/当代作者【李志锋】，灵台县/皇甫谧针灸文化传承研究；当代人物身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-LIU-JUNQI,刘君奇,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,非遗传承人/当代作者【刘君奇】，灵台县/皇甫谧针灸文化传承研究；当代人物身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-ZHANG-FARONG,张发荣,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,现代中医学者/诗评者【张发荣】，学术评论与后论引录；身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-HUANGLONGXIANG,黄龙祥,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,当代针灸文献权威学者/校勘者【黄龙祥】，全国中医药/甲乙经新校本作者；身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-LI-DING,李鼎,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,当代针灸文献权威学者/校勘者【李鼎】，全国中医药/甲乙经新校本作者；身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-GAO-SHUZHONG,高树中,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,当代针灸文献权威学者/校勘者【高树中】，全国中医药/甲乙经新校本作者；身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-WANG-JUN,王军,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,当代针灸文献权威学者/校勘者【王军】，全国中医药/甲乙经新校本作者；身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
PERSON-WU-MIANXUE,吴勉学(明),REVIEW_REQUIRED,CONFIRM_RECOMMENDED,明代刻书家【吴勉学(明)】，万历年间《医统正脉全书》新安刻本出版主持；出版史身份明确,content-production/normalized/persons.csv (PROD_CANONICAL_PERSON_17),NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
